ID,description,VN(name),VV(version),VT(type),VRC(root cause),VP(position),VAT(attacker type),VAV(attack vector),VR(result)
CVE-2014-9619,"Unrestricted file upload vulnerability in webadmin/ajaxfilemanager/ajaxfilemanager.php in Netsweeper before 3.1.10, 4.0.x before 4.0.9, and 4.1.x before 4.1.2 allows remote authenticated users with admin privileges on the Cloud Manager web console to execute arbitrary PHP code by uploading a file with a double extension, then accessing it via a direct request to the file in webadmin/deny/images/, as demonstrated by secuid0.php.gif.",Netsweeper,before 3.1.10 |n 4.0.x before 4.0.9 |n 4.1.x before 4.1.2,Unrestricted file upload vulnerability,,webadmin/ajaxfilemanager/ajaxfilemanager.php,remote authenticated users with admin privileges on the Cloud Manager web console,uploading a file with a double extension |n a direct request to the file in webadmin/deny/images/,execute arbitrary PHP code |n accessing it
CVE-2014-5091,"A vulnerability exits in Status2K 2.5 Server Monitoring Software via the multies parameter to includes/functions.php, which could let a malicious user execute arbitrary PHP code.",Status2K,2.5,,,Server Monitoring Software,malicious user,the multies parameter to includes/functions.php,execute arbitrary PHP code
CVE-2014-2527,"kcleanup.cpp in KDirStat 2.7.0 does not properly quote strings when deleting a directory, which allows remote attackers to execute arbitrary commands via a "" (double quote) character in the directory name, a different vulnerability than CVE-2014-2528.",KDirStat,2.7.0,,does not properly quote strings when deleting a directory,kcleanup.cpp,remote attackers,"a "" (double quote) character in the directory name",execute arbitrary commands
CVE-2014-3032,"Cross-site scripting (XSS) vulnerability in the Web GUI in IBM Tivoli Netcool/OMNIbus 7.3.0 before 7.3.0.6, 7.3.1 before 7.3.1.7, and 7.4.0 before 7.4.0.3 allows remote authenticated users to inject arbitrary web script or HTML via a crafted URL.", IBM Tivoli Netcool/OMNIbus,7.3.0 before 7.3.0.6 |n 7.3.1 before 7.3.1.7 |n 7.4.0 before 7.4.0.3,Cross-site scripting (XSS) vulnerability,,Web GUI,remote authenticated users,a crafted URL,inject arbitrary web script or HTML
CVE-2014-6783,"The Campus Link - Campus TV HKUSU (aka com.campus.tv.hkusu) application 2.2 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",Campus Link - Campus TV HKUSU |n com.campus.tv.hkusu |n Android,2.2,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-0275,"Microsoft Internet Explorer 6 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2014-0285 and CVE-2014-0286.",Microsoft Internet Explorer,6 through 11,Internet Explorer Memory Corruption Vulnerability,,,remote attackers,a crafted web site,execute arbitrary code or cause a denial of service (memory corruption) 
CVE-2014-2169,"Cisco TelePresence TC Software 4.x through 6.x before 6.2.0 and TE Software 4.x and 6.0 allow remote authenticated users to execute arbitrary commands by using the commands as arguments to internal system scripts, aka Bug ID CSCue60211.",Cisco TelePresence TC Software |n TE Software,4.x through 6.x before 6.2.0 |n 4.x and 6.0,,,,remote authenticated users,using the commands as arguments to internal system scripts,execute arbitrary commands
CVE-2014-5426,MatrikonOPC OPC Server for DNP3 1.2.3 and earlier allows remote attackers to cause a denial of service (unhandled exception and DNP3 process crash) via a crafted message.,MatrikonOPC OPC Server |n DNP3,1.2.3 and earlier,,,,remote attackers,a crafted message,cause a denial of service (unhandled exception and DNP3 process crash)
CVE-2014-9148,"Fiyo CMS 2.0.1.8 allows remote attackers to bypass intended access restrictions and execute the (1) ""Install and Update"" or (2) Backup super administrator function via the view parameter in a direct request to fiyo/dapur.",Fiyo CMS,2.0.1.8,,,,remote attackers,view parameter in a direct request to fiyo/dapur,"bypass intended access restrictions and execute the ""Install and Update"" or  Backup super administrator function"
CVE-2014-7415,"The Asylum! (aka com.nobexinc.wls_96362255.rc) application 3.3.10 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",Asylum! |n com.nobexinc.wls_96362255.rc |n Android, 3.3.10,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information 
CVE-2014-4097,"Microsoft Internet Explorer 6 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2014-2799, CVE-2014-4059, CVE-2014-4065, CVE-2014-4079, CVE-2014-4081, CVE-2014-4083, CVE-2014-4085, CVE-2014-4088, CVE-2014-4090, CVE-2014-4094, CVE-2014-4100, CVE-2014-4103, CVE-2014-4104, CVE-2014-4105, CVE-2014-4106, CVE-2014-4107, CVE-2014-4108, CVE-2014-4109, CVE-2014-4110, and CVE-2014-4111.",Microsoft Internet Explorer,6 through 11,,,Internet Explorer Memory Corruption Vulnerability,remote attackers,a crafted web site,execute arbitrary code or cause a denial of service (memory corruption)
CVE-2014-1398,"The entity wrapper access API in the Entity API module 7.x-1.x before 7.x-1.3 for Drupal might allow remote authenticated users to bypass intended access restrictions on comment, user and node statistics properties via unspecified vectors.",Entity API module |n Drupal,7.x-1.x before 7.x-1.3,,,entity wrapper access API,remote authenticated users,,"bypass intended access restrictions on comment, user and node statistics properties"
CVE-2014-9692,"Huawei Tecal RH1288 V2 V100R002C00SPC107 and earlier versions, Tecal RH2265 V2 V100R002C00, Tecal RH2285 V2 V100R002C00SPC115 and earlier versions, Tecal RH2265 V2 V100R002C00, Tecal RH2285H V2 V100R002C00SPC111 and earlier versions, Tecal RH2268 V2 V100R002C00, Tecal RH2288 V2 V100R002C00SPC117 and earlier versions, Tecal RH2288H V2 V100R002C00SPC115 and earlier versions, Tecal RH2485 V2 V100R002C00SPC502 and earlier versions, Tecal RH5885 V2 V100R001C02SPC109 and earlier versions, Tecal RH5885 V3 V100R003C01SPC102 and earlier versions, Tecal RH5885H V3 V100R003C00SPC102 and earlier versions, Tecal XH310 V2 V100R001C00SPC110 and earlier versions, Tecal XH311 V2 V100R001C00SPC110 and earlier versions, Tecal XH320 V2 V100R001C00SPC110 and earlier versions, Tecal XH621 V2 V100R001C00SPC106 and earlier versions, Tecal DH310 V2 V100R001C00SPC110 and earlier versions, Tecal DH320 V2 V100R001C00SPC106 and earlier versions, Tecal DH620 V2 V100R001C00SPC106 and earlier versions, Tecal DH621 V2 V100R001C00SPC107 and earlier versions, Tecal DH628 V2 V100R001C00SPC107 and earlier versions, Tecal BH620 V2 V100R002C00SPC107 and earlier versions, Tecal BH621 V2 V100R002C00SPC106 and earlier versions, Tecal BH622 V2 V100R002C00SPC110 and earlier versions, Tecal BH640 V2 V100R002C00SPC108 and earlier versions, Tecal CH121 V100R001C00SPC180 and earlier versions, Tecal CH140 V100R001C00SPC110 and earlier versions, Tecal CH220 V100R001C00SPC180 and earlier versions, Tecal CH221 V100R001C00SPC180 and earlier versions, Tecal CH222 V100R002C00SPC180 and earlier versions, Tecal CH240 V100R001C00SPC180 and earlier versions, Tecal CH242 V100R001C00SPC180 and earlier versions, Tecal CH242 V3 V100R001C00SPC110 and earlier versions could allow attackers to figure out the RMCP+ session IDs of users and access the system with forged identities.",Huawei,"Tecal RH1288 V2 V100R002C00SPC107 and earlier versions, Tecal RH2265 V2 V100R002C00, Tecal RH2285 V2 V100R002C00SPC115 and earlier versions, Tecal RH2265 V2 V100R002C00, Tecal RH2285H V2 V100R002C00SPC111 and earlier versions, Tecal RH2268 V2 V100R002C00, Tecal RH2288 V2 V100R002C00SPC117 and earlier versions, Tecal RH2288H V2 V100R002C00SPC115 and earlier versions, Tecal RH2485 V2 V100R002C00SPC502 and earlier versions, Tecal RH5885 V2 V100R001C02SPC109 and earlier versions, Tecal RH5885 V3 V100R003C01SPC102 and earlier versions, Tecal RH5885H V3 V100R003C00SPC102 and earlier versions, Tecal XH310 V2 V100R001C00SPC110 and earlier versions, Tecal XH311 V2 V100R001C00SPC110 and earlier versions, Tecal XH320 V2 V100R001C00SPC110 and earlier versions, Tecal XH621 V2 V100R001C00SPC106 and earlier versions, Tecal DH310 V2 V100R001C00SPC110 and earlier versions, Tecal DH320 V2 V100R001C00SPC106 and earlier versions, Tecal DH620 V2 V100R001C00SPC106 and earlier versions, Tecal DH621 V2 V100R001C00SPC107 and earlier versions, Tecal DH628 V2 V100R001C00SPC107 and earlier versions, Tecal BH620 V2 V100R002C00SPC107 and earlier versions, Tecal BH621 V2 V100R002C00SPC106 and earlier versions, Tecal BH622 V2 V100R002C00SPC110 and earlier versions, Tecal BH640 V2 V100R002C00SPC108 and earlier versions, Tecal CH121 V100R001C00SPC180 and earlier versions, Tecal CH140 V100R001C00SPC110 and earlier versions, Tecal CH220 V100R001C00SPC180 and earlier versions, Tecal CH221 V100R001C00SPC180 and earlier versions, Tecal CH222 V100R002C00SPC180 and earlier versions, Tecal CH240 V100R001C00SPC180 and earlier versions, Tecal CH242 V100R001C00SPC180 and earlier versions, Tecal CH242 V3 V100R001C00SPC110 and earlier versions",,,,,,figure out the RMCP+ session IDs of users and access the system with forged identities
CVE-2014-0827,Cross-site scripting (XSS) vulnerability in IBM InfoSphere Optim Workload Replay 1.1 allows remote attackers to inject arbitrary web script or HTML via a crafted URL.,IBM InfoSphere Optim Workload Replay,1.1,Cross-site scripting |n XSS,,,remote attackers,a crafted URL,inject arbitrary web script or HTML
CVE-2014-5187,Directory traversal vulnerability in the Tom M8te (tom-m8te) plugin 1.5.3 for WordPress allows remote attackers to read arbitrary files via the file parameter to tom-download-file.php., Tom M8te (tom-m8te) plugin,1.5.3 for WordPress,Directory traversal,,,remote attackers,the file parameter to tom-download-file.php,read arbitrary files
CVE-2014-0239,"The internal DNS server in Samba 4.x before 4.0.18 does not check the QR field in the header section of an incoming DNS message before sending a response, which allows remote attackers to cause a denial of service (CPU and bandwidth consumption) via a forged response packet that triggers a communication loop, a related issue to CVE-1999-0103.", Samba,4.x before 4.0.18,,does not check the QR field in the header section of an incoming DNS message before sending a response,internal DNS server,remote attackers,a forged response packet that triggers a communication loop,cause a denial of service (CPU and bandwidth consumption)
CVE-2014-6334,"Microsoft Word 2007 SP3, Word Viewer, and Office Compatibility Pack SP3 allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted Office document, aka ""Microsoft Office Bad Index Remote Code Execution Vulnerability.""",Microsoft Word |n Word Viewer |n Office Compatibility Pack,2007 SP3 |n SP3,Microsoft Office Bad Index Remote Code Execution Vulnerability,,,remote attackers,a crafted Office document,execute arbitrary code or cause a denial of service (memory corruption) 
CVE-2014-2774,"Microsoft Internet Explorer 6 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2014-2820, CVE-2014-2826, CVE-2014-2827, and CVE-2014-4063.",Microsoft Internet Explorer,6 through 11,Internet Explorer Memory Corruption Vulnerability,,,remote attackers,a crafted web site,execute arbitrary code or cause a denial of service (memory corruption)
CVE-2014-6410,"The __udf_read_inode function in fs/udf/inode.c in the Linux kernel through 3.16.3 does not restrict the amount of ICB indirection, which allows physically proximate attackers to cause a denial of service (infinite loop or stack consumption) via a UDF filesystem with a crafted inode.",Linux kernel,through 3.16.3,,does not restrict the amount of ICB indirection,__udf_read_inode function in fs/udf/inode.c,physically proximate attackers,a UDF filesystem with a crafted inode,cause a denial of service (infinite loop or stack consumption)
CVE-2014-3209,"The ldns-keygen tool in ldns 1.6.x uses the current umask to set the privileges of the private key, which might allow local users to obtain the private key by reading the file.",ldns,1.6.x,,uses the current umask to set the privileges of the private key,ldns-keygen tool,local users,reading the file,obtain the private key
CVE-2014-5202,Cross-site scripting (XSS) vulnerability in compfight-search.php in the Compfight plugin 1.4 for WordPress allows remote authenticated users to inject arbitrary web script or HTML via the search-value parameter.,Compfight plugin,1.4 for WordPress,Cross-site scripting (XSS) vulnerability,,compfight-search.php,remote authenticated users,the search-value parameter,inject arbitrary web script or HTML
CVE-2014-0163,Openshift has shell command injection flaws due to unsanitized data being passed into shell commands.,Openshift,,shell command injection flaws,,,,unsanitized data being passed into shell commands,
CVE-2014-1707,Directory traversal vulnerability in CrosDisks in Google Chrome OS before 33.0.1750.152 has unspecified impact and attack vectors.,Google Chrome OS,before 33.0.1750.152,Directory traversal vulnerability,,CrosDisks,,,
CVE-2014-5950,"The NOW (aka com.smtown.smtownnow.androidapp) application 0.9.8 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",NOW |n com.smtown.smtownnow.androidapp |n Android,0.9.8,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-0271,"The VBScript engine in Microsoft Internet Explorer 6 through 11, and VBScript 5.6 through 5.8, allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""VBScript Memory Corruption Vulnerability.""",Microsoft Internet Explorer |n VBScript,6 through 11 |n 5.6 through 5.8,VBScript Memory Corruption Vulnerability,,VBScript engine,remote attackers,a crafted web site,execute arbitrary code or cause a denial of service (memory corruption)
