id,content
CVE-1999-0508,"An account on a router, firewall, or other network device has a default, null, blank, or missing password."

CVE-1999-0358,Digital Unix 4.0 has a buffer overflow in the inc program of the mh package.

CVE-1999-1168,"install.iss installation script for Internet Security Scanner (ISS) for Linux, version 5.3, allows local users to change the permissions of arbitrary files via a symlink attack on a temporary file."

CVE-1999-0009,Inverse query buffer overflow in BIND 4.9 and BIND 8 Releases.

CVE-1999-0371,Lynx allows a local user to overwrite sensitive files through /tmp symlinks.

CVE-1999-0250,Denial of service in Qmail through long SMTP commands.

CVE-1999-0403,A bug in Cyrix CPUs on Linux allows local users to perform a denial of service.

CVE-1999-0475,A race condition in how procmail handles .procmailrc files allows a local user to read arbitrary files available to the user who is running procmail.

CVE-1999-0417,64 bit Solaris 7 procfs allows local users to perform a denial of service.

CVE-1999-0834,Buffer overflow in RSAREF2 via the encryption and decryption functions in the RSAREF library.

CVE-1999-0155,The ghostscript command with the -dSAFER option allows remote attackers to execute commands.

CVE-1999-1121,The default configuration for UUCP in AIX before 3.2 allows local users to gain root privileges.

CVE-1999-1503,Network Flight Recorder (NFR) 1.5 and 1.6 allows remote attackers to cause a denial of service in nfrd (crash) via a TCP packet with a null header and data field.

CVE-1999-0245,"Some configurations of NIS+ in Linux allowed attackers to log in as the user ""+""."

CVE-1999-0047,MIME conversion buffer overflow in sendmail versions 8.8.3 and 8.8.4.

CVE-1999-0326,Vulnerability in HP-UX mediainit program.

CVE-1999-0096,Sendmail decode alias can be used to overwrite sensitive files.

CVE-1999-1337,"FTP client in Midnight Commander (mc) before 4.5.11 stores usernames and passwords for visited sites in plaintext in the world-readable history file, which allows other local users to gain privileges."

CVE-1999-0886,The security descriptor for RASMAN allows users to point to an alternate location via the Windows NT Service Control Manager.

CVE-1999-1279,An interaction between the AS/400 shared folders feature and Microsoft SNA Server 3.0 and earlier allows users to view each other's folders when the users share the same Local APPC LU.

CVE-1999-0935,classifieds.cgi allows remote attackers to execute arbitrary commands by specifying them in a hidden variable in a CGI form.

CVE-1999-0330,Linux bdash game has a buffer overflow that allows local users to gain root access.

CVE-1999-0900,Buffer overflow in rpc.yppasswdd allows a local user to gain privileges via MD5 hash generation.

CVE-1999-0033,Command execution in Sun systems via buffer overflow in the at program.

CVE-1999-0151,"The SATAN session key may be disclosed if the user points the web browser to other sites, possibly allowing root access."

CVE-1999-1090,"The default configuration of NCSA Telnet package for Macintosh and PC enables FTP, even though it does not include an ""ftp=yes"" line, which allows remote attackers to read and modify arbitrary files."

CVE-1999-0736,The showcode.asp sample file in IIS and Site Server allows remote attackers to read arbitrary files.

CVE-1999-0062,The chpass command in OpenBSD allows a local user to gain root access through file descriptor leakage.

CVE-1999-1170,"IPswitch IMail allows local users to gain additional privileges and modify or add mail accounts by setting the ""flags"" registry key to 1920."

CVE-1999-1424,"Solaris Solstice AdminSuite (AdminSuite) 2.1 uses unsafe permissions when adding new users to the NIS+ password table, which allows local users to gain root access by modifying their password table entries."

CVE-1999-0268,"MetaInfo MetaWeb web server allows users to upload, execute, and read scripts."

CVE-1999-0383,ACC Tigris allows public access without a login.

CVE-1999-0487,The DHTML Edit ActiveX control in Internet Explorer allows remote attackers to read arbitrary files.

CVE-1999-1508,Web server in Tektronix PhaserLink Printer 840.0 and earlier allows a remote attacker to gain administrator access by directly calling undocumented URLs such as ncl_items.html and ncl_subjects.html.

CVE-1999-1492,"Vulnerability in (1) diskperf and (2) diskalign in IRIX 6.4 allows local attacker to create arbitrary root owned files, leading to root privileges."

CVE-1999-0267,Buffer overflow in NCSA HTTP daemon v1.3 allows remote command execution.

CVE-1999-1416,AnswerBook2 (AB2) web server dwhttpd 3.1a4 allows remote attackers to cause a denial of service (resource exhaustion) via an HTTP POST request with a large content-length.

CVE-1999-1241,"Internet Explorer, with a security setting below Medium, allows remote attackers to execute arbitrary commands via a malicious web page that uses the FileSystemObject ActiveX object."

CVE-1999-0196,websendmail in Webgais 1.0 allows a remote user to access arbitrary files and execute arbitrary code via the receiver parameter ($VAR_receiver variable).

CVE-1999-1539,"Buffer overflow in FTP server in QPC Software's QVT/Term Plus versions 4.2d and 4.3 and QVT/Net 4.3 allows remote attackers to cause a denial of service, and possibly execute arbitrary commands, via a long (1) user name or (2) password."

CVE-1999-0280,Remote command execution in Microsoft Internet Explorer using .lnk and .url files.

CVE-1999-1407,ifdhcpc-done script for configuring DHCP on Red Hat Linux 5 allows local users to append text to arbitrary files via a symlink attack on the dhcplog file.

CVE-1999-1468,"rdist in various UNIX systems uses popen to execute sendmail, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable."

CVE-1999-0780,KDE klock allows local users to kill arbitrary processes by specifying an arbitrary PID in the .kss.pid file.

CVE-1999-0594,A Windows NT system does not restrict access to removable media drives such as a floppy disk drive or CDROM drive.

CVE-1999-0098,Buffer overflow in SMTP HELO command in Sendmail allows a remote attacker to hide activities.

CVE-1999-1009,The Disney Go Express Search allows remote attackers to access and modify search information for users by connecting to an HTTP server on the user's system.

CVE-1999-1412,"A possible interaction between Apple MacOS X release 1.0 and Apache HTTP server allows remote attackers to cause a denial of service (crash) via a flood of HTTP GET requests to CGI programs, which generates a large number of processes."

CVE-1999-0003,Execute commands as root via buffer overflow in Tooltalk database server (rpc.ttdbserverd).

CVE-1999-0441,Remote attackers can perform a denial of service in WinGate machines using a buffer overflow in the Winsock Redirector Service.

CVE-1999-1157,"Tcpip.sys in Windows NT 4.0 before SP4 allows remote attackers to cause a denial of service via an ICMP Subnet Mask Address Request packet, when certain multiple IP addresses are bound to the same network interface."

CVE-1999-0811,Buffer overflow in Samba smbd program via a malformed message command.

CVE-1999-1471,Buffer overflow in passwd in BSD based operating systems 4.3 and earlier allows local users to gain root privileges by specifying a long shell or GECOS field.

CVE-1999-1132,"Windows NT 4.0 allows remote attackers to cause a denial of service (crash) via extra source routing data such as (1) a Routing Information Field (RIF) field with a hop count greater than 7, or (2) a list containing duplicate Token Ring IDs."

CVE-1999-0379,Microsoft Taskpads allows remote web sites to execute commands on the visiting user's machine via certain methods that are marked as Safe for Scripting.

CVE-1999-1181,Vulnerability in On-Line Customer Registration software for IRIX 6.2 through 6.4 allows local users to gain root privileges.

CVE-1999-0200,Windows NT FTP server (WFTP) with the guest account enabled without a password allows an attacker to log into the FTP server using any username and password.

CVE-1999-1185,Buffer overflow in SCO mscreen allows local users to gain root privileges via a long terminal entry (TERM) in the .mscreenrc file.

CVE-1999-0586,A network service is running on a nonstandard port.

CVE-1999-0589,A system-critical Windows NT registry key has inappropriate permissions.

CVE-1999-0495,A remote attacker can gain access to a file system using ..  (dot dot) when accessing SMB shares.

CVE-1999-0391,"The cryptographic challenge of SMB authentication in Windows 95 and Windows 98 can be reused, allowing an attacker to replay the response and impersonate a user."

CVE-1999-0891,"The ""download behavior"" in Internet Explorer 5 allows remote attackers to read arbitrary files via a server-side redirect."

CVE-1999-0598,"A network intrusion detection system (IDS) does not properly handle packets that are sent out of order, allowing an attacker to escape detection."

CVE-1999-1000,The web administration interface for Cisco Cache Engine allows remote attackers to view performance statistics.

CVE-1999-1243,SGI Desktop Permissions Tool in IRIX 6.0.1 and earlier allows local users to modify permissions for arbitrary files and gain privileges.

CVE-1999-1200,"Vintra SMTP MailServer allows remote attackers to cause a denial of service via a malformed ""EXPN *@"" command."

CVE-1999-0488,"Internet Explorer 4.0 and 5.0 allows a remote attacker to execute security scripts in a different security context using malicious URLs, a variant of the ""cross frame"" vulnerability."

CVE-1999-1381,Buffer overflow in dbadmin CGI program 1.0.1 on Linux allows remote attackers to execute arbitrary commands.

CVE-1999-0309,HP-UX vgdisplay program gives root access to local users.

CVE-1999-1380,"Symantec Norton Utilities 2.0 for Windows 95 marks the TUNEOCX.OCX ActiveX control as safe for scripting, which allows remote attackers to execute arbitrary commands via the run option through malicious web pages that are accessed by browsers such as Internet Explorer 3.0."

CVE-1999-1287,Vulnerability in Analog 3.0 and earlier allows remote attackers to read arbitrary files via the forms interface.

CVE-1999-1282,"RealSystem G2 server stores the administrator password in cleartext in a world-readable configuration file, which allows local users to gain privileges."

CVE-1999-1174,"ZIP drive for Iomega ZIP-100 disks allows attackers with physical access to the drive to bypass password protection by inserting a known disk with a known password, waiting for the ZIP drive to power down, manually replacing the known disk with the target disk, and using the known password to access the target disk."

CVE-1999-0014,Unauthorized privileged access or denial of service via dtappgather program in CDE.

CVE-1999-0299,Buffer overflow in FreeBSD lpd through long DNS hostnames.

CVE-1999-1207,"Buffer overflow in web-admin tool in NetXRay 2.6 allows remote attackers to cause a denial of service, and possibly execute arbitrary commands, via a long HTTP request."

CVE-1999-0992,HP VirtualVault with the PHSS_17692 patch allows unprivileged processes to bypass access restrictions via the Trusted Gateway Proxy (TGP).

CVE-1999-1496,"Sudo 1.5 in Debian Linux 2.1 and Red Hat 6.0 allows local users to determine the existence of arbitrary files by attempting to execute the target filename as a program, which generates a different error message when the file does not exist."

CVE-1999-0580,"The HKEY_LOCAL_MACHINE key in a Windows NT system has inappropriate, system-critical permissions."

CVE-1999-0568,rpc.admind in Solaris is not running in a secure mode.

CVE-1999-1052,"Microsoft FrontPage stores form results in a default location in /_private/form_results.txt, which is world-readable and accessible in the document root, which allows remote attackers to read possibly sensitive information submitted by other users."

CVE-1999-1252,Vulnerability in a certain system call in SCO UnixWare 2.0.x and 2.1.0 allows local users to access arbitrary files and gain root privileges.

CVE-1999-0914,Buffer overflow in the FTP client in the Debian GNU/Linux netstd package.

CVE-1999-1255,Hyperseek allows remote attackers to modify the hyperseek configuration by directly calling the admin.cgi program with an edit_file action parameter.

CVE-1999-0591,An event log in Windows NT has inappropriate access permissions.

CVE-1999-0038,Buffer overflow in xlock program allows local users to execute commands as root.

CVE-1999-0575,"A Windows NT system's user audit policy does not log an event success or failure, e.g. for Logon and Logoff, File and Object Access, Use of User Rights, User and Group Management, Security Policy Changes, Restart, Shutdown, and System, and Process Tracking."

CVE-1999-1317,Windows NT 4.0 SP4 and earlier allows local users to gain privileges by modifying the symbolic link table in the \?? object folder using a different case letter (upper or lower) to point to a different device.

CVE-1999-1284,"NukeNabber allows remote attackers to cause a denial of service by connecting to the NukeNabber port (1080) without sending any data, which causes the CPU usage to rise to 100% from the report.exe program that is executed upon the connection."

CVE-1999-0716,Buffer overflow in Windows NT 4.0 help file utility via a malformed help file.

CVE-1999-1021,"NFS on SunOS 4.1 through 4.1.2 ignores the high order 16 bits in a 32 bit UID, which allows a local user to gain root access if the lower 16 bits are set to 0, as fixed by the NFS jumbo patch upgrade."

CVE-1999-0166,"NFS allows users to use a ""cd .."" command to access other directories besides the exported file system."

CVE-1999-1428,"Solaris Solstice AdminSuite (AdminSuite) 2.1 and 2.2 allows local users to gain privileges via the save option in the Database Manager, which is running with setgid bin privileges."

CVE-1999-0205,Denial of service in Sendmail 8.6.11 and 8.6.12.

CVE-1999-1176,Buffer overflow in cidentd ident daemon allows local users to gain root privileges via a long line in the .authlie script.

CVE-1999-1581,Memory leak in Simple Network Management Protocol (SNMP) agent (snmp.exe) for Windows NT 4.0 before Service Pack 4 allows remote attackers to cause a denial of service (memory consumption) via a large number of SNMP packets with Object Identifiers (OIDs) that cannot be decoded.

CVE-1999-0057,Vacation program allows command execution by remote users through a sendmail command.

CVE-1999-0566,"An attacker can write to syslog files from any location, causing a denial of service by filling up the logs, and hiding activities."

CVE-1999-1248,Vulnerability in Support Watch (aka SupportWatch) in HP-UX 8.0 through 9.0 allows local users to gain privileges.

CVE-1999-0843,Denial of service in Cisco routers running NAT via a PORT command from an FTP client to a Telnet port.

CVE-1999-1173,"Corel Word Perfect 8 for Linux creates a temporary working directory with world-writable permissions, which allows local users to (1) modify Word Perfect behavior by modifying files in the working directory, or (2) modify files of other users via a symlink attack."

CVE-1999-1427,"Solaris Solstice AdminSuite (AdminSuite) 2.1 and 2.2 create lock files insecurely, which allows local users to gain root privileges."

CVE-1999-0916,WebTrends software stores account names and passwords in a file which does not have restricted access permissions.

CVE-1999-0726,An attacker can conduct a denial of service in Windows NT by executing a program with a malformed file image header.

CVE-1999-0605,An incorrect configuration of the Order Form 1.0 shopping cart  CGI program could disclose private information.

CVE-1999-0546,The Windows NT guest account is enabled.

CVE-1999-0068,CGI PHP mylog script allows an attacker to read any file on the target server.

CVE-1999-1590,"Directory traversal vulnerability in Muhammad A. Muquit wwwcount (Count.cgi) 2.3 allows remote attackers to read arbitrary GIF files via "".."" sequences in the image parameter, a different vulnerability than CVE-1999-0021."

CVE-1999-1309,Sendmail before 8.6.7 allows local users to gain root access via a large value in the debug (-d) command line option.

CVE-1999-0471,"The remote proxy server in Winroute allows a remote attacker to reconfigure the proxy without authentication through the ""cancel"" button."

CVE-1999-1141,Ascom Timeplex router allows remote attackers to obtain sensitive information or conduct unauthorized activities by entering debug mode through a sequence of CTRL-D characters.

CVE-1999-1474,"PowerPoint 95 and 97 allows remote attackers to cause an application to be run automatically without prompting the user, possibly through the slide show, when the document is opened in browsers such as Internet Explorer."

CVE-1999-1430,"PIM software for Royal daVinci does not properly password-protext access to data stored in the .mdb (Microsoft Access) file, which allows local users to read the data without a password by directly accessing the files with a different application, such as Access."

CVE-1999-1146,Vulnerability in Glance and gpm programs in GlancePlus for HP-UX 9.x and earlier allows local users to access arbitrary files and gain privileges.

CVE-1999-1312,"Vulnerability in DEC OpenVMS VAX 5.5-2 through 5.0, and OpenVMS AXP 1.0, allows local users to gain system privileges."

CVE-1999-0859,"Solaris arp allows local users to read files via the -f parameter, which lists lines in the file that do not parse properly."

CVE-1999-1122,Vulnerability in restore in SunOS 4.0.3 and earlier allows local users to gain privileges.

CVE-1999-1028,Symantec pcAnywhere 8.0 allows remote attackers to cause a denial of service (CPU utilization) via a large amount of data to port 5631.

CVE-1999-0165,NFS cache poisoning.

CVE-1999-0814,Red Hat pump DHCP client allows remote attackers to gain root access in some configurations.

CVE-1999-0943,Buffer overflow in OpenLink 3.2 allows remote attackers to gain privileges via a long GET request to the web configurator.

CVE-1999-0093,AIX nslookup command allows local users to obtain root access by not dropping privileges correctly.

CVE-1999-1167,Cross-site scripting vulnerability in Third Voice Web annotation utility allows remote users to read sensitive data and generate fake web pages for other Third Voice users by injecting malicious Javascript into an annotation.

CVE-1999-0409,Buffer overflow in gnuplot in Linux version 3.5 allows local users to obtain root access.

CVE-1999-0601,A network intrusion detection system (IDS) does not properly handle data within TCP handshake packets.

CVE-1999-1450,"Vulnerability in (1) rlogin daemon rshd and (2) scheme on SCO UNIX OpenServer 5.0.5 and earlier, and SCO UnixWare 7.0.1 and earlier, allows remote attackers to gain privileges."

CVE-1999-0076,Buffer overflow in wu-ftp from PASV command causes a core dump.

CVE-1999-0529,"A router or firewall forwards packets that claim to come from IANA reserved or private addresses, e.g. 10.x.x.x, 127.x.x.x, 217.x.x.x, etc."

CVE-1999-0792,ROUTERmate has a default SNMP community name which allows remote attackers to modify its configuration.

CVE-1999-0865,Buffer overflow in CommuniGatePro via a long string to the HTTP configuration port.

CVE-1999-0927,NTMail allows remote attackers to read arbitrary files via a .. (dot dot) attack.

CVE-1999-0884,The Zeus web server administrative interface uses weak encryption for its passwords.

CVE-1999-1482,SVGAlib zgv 3.0-7 and earlier allows local users to gain root access via a privilege leak of the iopl(3) privileges to child processes.

CVE-1999-0973,Buffer overflow in Solaris snoop program allows remote attackers to gain root privileges via a long domain name when snoop is running in verbose mode.

CVE-1999-0779,Denial of service in HP-UX SharedX recserv program.

CVE-1999-1302,Unspecified vulnerability in pt_chmod in SCO UNIX 4.2 and earlier allows local users to gain root access.

CVE-1999-1206,"SystemSoft SystemWizard package in HP Pavilion PC with Windows 98, and possibly other platforms and operating systems, installs two ActiveX controls that are marked as safe for scripting, which allows remote attackers to execute arbitrary commands via a malicious web page that references (1) the Launch control, or (2) the RegObj control."

CVE-1999-0385,The LDAP bind function in Exchange 5.5 has a buffer overflow that allows a remote attacker to conduct a denial of service or execute commands.

CVE-1999-0995,"Windows NT Local Security Authority (LSA) allows remote attackers to cause a denial of service via malformed arguments to the LsaLookupSids function which looks up the SID, aka ""Malformed Security Identifier Request."""

CVE-1999-1272,Buffer overflows in CDROM Confidence Test program (cdrom) allow local users to gain root privileges.

CVE-1999-0915,URL Live! web server allows remote attackers to read arbitrary files via a .. (dot dot) attack.

CVE-2000-0259,The default permissions for the Cryptography\Offload registry key used by the OffloadModExpo in Windows NT 4.0 allows local users to obtain compromise the cryptographic keys of other users.

CVE-2000-0868,The default configuration of Apache 1.3.12 in SuSE Linux 6.4 allows remote attackers to read source code for CGI scripts by replacing the /cgi-bin/ in the requested URL with /cgi-bin-sdb/.

CVE-2000-0094,procfs in BSD systems allows local users to gain root privileges by modifying the /proc/pid/mem interface via a modified file descriptor for stderr.

CVE-2000-0787,IRC Xchat client versions 1.4.2 and earlier allows remote attackers to execute arbitrary commands by encoding shell metacharacters into a URL which XChat uses to launch a web browser.

CVE-2000-0211,"The Windows Media server allows remote attackers to cause a denial of service via a series of client handshake packets that are sent in an improper sequence, aka the ""Misordered Windows Media Services Handshake"" vulnerability."

CVE-2000-0863,Buffer overflow in listmanager earlier than 2.105.1 allows local users to gain additional privileges.

CVE-2000-0677,Buffer overflow in IBM Net.Data db2www CGI program allows remote attackers to execute arbitrary commands via a long PATH_INFO environmental variable.

CVE-2000-0800,String parsing error in rpc.kstatd in the linuxnfs or knfsd packages in SuSE and possibly other Linux systems allows remote attackers to gain root privileges.

CVE-2000-0542,Tigris remote access server before 11.5.4.22 does not properly record Radius accounting information when a user fails the initial login authentication but subsequently succeeds.

CVE-2000-0746,"Vulnerabilities in IIS 4.0 and 5.0 do not properly protect against cross-site scripting (CSS) attacks.  They allow a malicious web site operator to embed scripts in a link to a trusted site, which are returned without quoting in an error message back to the client.  The client then executes those scripts in the same context as the trusted site, aka the ""IIS Cross-Site Scripting"" vulnerabilities."

CVE-2000-0096,Buffer overflow in qpopper 3.0 beta versions allows local users to gain privileges via a long LIST command.

CVE-2000-0023,Buffer overflow in Lotus Domino HTTP server allows remote attackers to cause a denial of service via a long URL.

CVE-2000-1127,"registrar in the HP resource monitor service allows local users to read and modify arbitrary files by renaming the original registrar.log log file and creating a symbolic link to the target file, to which registrar appends log information and sets the permissions to be world readable."

CVE-2000-0126,Sample Internet Data Query (IDQ) scripts in IIS 3 and 4 allow remote attackers to read files via a .. (dot dot) attack.

CVE-2000-0657,Buffer overflow in AnalogX proxy server 4.04 and earlier allows remote attackers to cause a denial of service via a long HELO command in the SMTP protocol.

CVE-2000-0760,The Snoop servlet in Jakarta Tomcat 3.1 and 3.0 under Apache reveals sensitive system information when a remote attacker requests a nonexistent URL with a .snp extension.

CVE-2000-0068,"daynad program in Intel InBusiness E-mail Station does not require authentication, which allows remote attackers to modify its configuration, delete files, or read mail."

CVE-2000-0451,The Intel express 8100 ISDN router allows remote attackers to cause a denial of service via oversized or fragmented ICMP packets.

CVE-2000-0276,BeOS 4.5 and 5.0 allow local users to cause a denial of service via malformed direct system calls using interrupt 37.

CVE-2000-0246,"IIS 4.0 and 5.0 does not properly perform ISAPI extension processing if a virtual directory is mapped to a UNC share, which allows remote attackers to read the source code of ASP and other files, aka the ""Virtualized UNC Share"" vulnerability."

CVE-2000-0739,Directory traversal vulnerability in strong.exe program in NAI Net Tools PKI server 1.0 before HotFix 3 allows remote attackers to read arbitrary files via a .. (dot dot) attack in an HTTPS request to the enrollment server.

CVE-2000-0390,Buffer overflow in krb425_conv_principal function in Kerberos 5 allows remote attackers to gain root privileges.

CVE-2000-0654,"Microsoft Enterprise Manager allows local users to obtain database passwords via the Data Transformation Service (DTS) package Registered Servers Dialog dialog, aka a variant of the ""DTS Password"" vulnerability."

CVE-2000-0199,"When a new SQL Server is registered in Enterprise Manager for Microsoft SQL Server 7.0 and the ""Always prompt for login name and password"" option is not set, then the Enterprise Manager uses weak encryption to store the login ID and password."

CVE-2000-0978,"bbd server in Big Brother System and Network Monitor before 1.5c2 allows remote attackers to execute arbitrary commands via the ""&"" shell metacharacter."

CVE-2000-0112,The default installation of Debian GNU/Linux uses an insecure Master Boot Record (MBR) which allows a local user to boot from a floppy disk during the installation.

CVE-2000-0095,"The PMTU discovery procedure used by HP-UX 10.30 and 11.00 for determining the optimum MTU generates large amounts of traffic in response to small packets, allowing remote attackers to cause the system to be used as a packet amplifier."

CVE-2000-0709,The shtml.exe component of Microsoft FrontPage 2000 Server Extensions 1.1 allows remote attackers to cause a denial of service in some components by requesting a URL whose name includes a standard DOS device name.

